team 1,team 2,original team 1 score,original team 2 score,original winner,team 1 threes,team 2 threes,adjusted team 1 score,adjusted team 2 score,adjusted winner
Bellarmine,Duke,54,76,Duke,3,13,51,63,Duke
Bellarmine,Howard,84,63,Bellarmine,10,11,74,52,Bellarmine
Chattanooga,Bellarmine,77,68,Chattanooga,17,3,60,65,Bellarmine
Bellarmine,Notre Dame,70,81,Notre Dame,11,8,59,73,Notre Dame
Transylvania,Bellarmine,40,90,Bellarmine,7,7,33,83,Bellarmine
Mount St. Joseph,Bellarmine,38,90,Bellarmine,3,7,35,83,Bellarmine
Lipscomb,Bellarmine,77,72,Lipscomb,12,9,65,63,Lipscomb
Lipscomb,Bellarmine,65,58,Lipscomb,7,5,58,53,Lipscomb
Bellarmine,Florida Gulf Coast,74,60,Bellarmine,6,7,68,53,Bellarmine
Bellarmine,Florida Gulf Coast,80,63,Bellarmine,9,10,71,53,Bellarmine
Stetson,Bellarmine,62,67,Bellarmine,7,7,55,60,Bellarmine
Stetson,Bellarmine,65,76,Bellarmine,10,8,55,68,Bellarmine
Bellarmine,Kennesaw State,84,67,Bellarmine,4,8,80,59,Bellarmine
Bellarmine,Kennesaw State,84,79,Bellarmine,3,10,81,69,Bellarmine
Jacksonville,Bellarmine,56,71,Bellarmine,7,4,49,67,Bellarmine
Jacksonville,Bellarmine,44,63,Bellarmine,5,6,39,57,Bellarmine
Bellarmine,North Alabama,66,64,Bellarmine,7,11,59,53,Bellarmine
Bellarmine,North Alabama,87,63,Bellarmine,9,13,78,50,Bellarmine
Liberty,Bellarmine,94,78,Liberty,15,3,79,75,Liberty
Florida A&M,Florida Gulf Coast,56,65,Florida Gulf Coast,6,6,50,59,Florida Gulf Coast
Florida Gulf Coast,South Florida,57,76,South Florida,7,7,50,69,South Florida
Florida National,Florida Gulf Coast,74,91,Florida Gulf Coast,9,8,65,83,Florida Gulf Coast
Florida Gulf Coast,Miami,66,62,Florida Gulf Coast,13,3,53,59,Miami
Florida International,Florida Gulf Coast,85,69,Florida International,13,6,72,63,Florida International
Webber International,Florida Gulf Coast,39,112,Florida Gulf Coast,3,13,36,99,Florida Gulf Coast
Georgia Southern,Florida Gulf Coast,60,73,Florida Gulf Coast,6,8,54,65,Florida Gulf Coast
Florida Gulf Coast,Lipscomb,79,69,Florida Gulf Coast,11,6,68,63,Florida Gulf Coast
Florida Gulf Coast,Lipscomb,56,71,Lipscomb,5,6,51,65,Lipscomb
Stetson,Florida Gulf Coast,63,64,Florida Gulf Coast,8,2,55,62,Florida Gulf Coast
Stetson,Florida Gulf Coast,77,66,Stetson,12,10,65,56,Stetson
North Alabama,Florida Gulf Coast,60,86,Florida Gulf Coast,5,9,55,77,Florida Gulf Coast
North Alabama,Florida Gulf Coast,60,69,Florida Gulf Coast,4,8,56,61,Florida Gulf Coast
Florida Gulf Coast,Kennesaw State,63,80,Kennesaw State,9,8,54,72,Kennesaw State
College of Coastal Georgia,Jacksonville,57,99,Jacksonville,6,14,51,85,Jacksonville
Southern Miss,Jacksonville,51,66,Jacksonville,3,9,48,57,Jacksonville
Presbyterian,Jacksonville,65,78,Jacksonville,9,7,56,71,Jacksonville
Jacksonville,Georgia,65,98,Georgia,4,8,61,90,Georgia
Campbell,Jacksonville,80,78,Campbell,7,8,73,70,Campbell
Florida National,Jacksonville,69,78,Jacksonville,9,8,60,70,Jacksonville
New Orleans,Jacksonville,70,77,Jacksonville,2,7,68,70,Jacksonville
Jacksonville,South Carolina State,60,58,Jacksonville,4,9,56,49,Jacksonville
Jacksonville,Miami,64,73,Miami,10,6,54,67,Miami
Jacksonville,Kansas State,46,70,Kansas State,8,11,38,59,Kansas State
Jacksonville,Kennesaw State,62,57,Jacksonville,6,9,56,48,Jacksonville
Jacksonville,Kennesaw State,72,66,Jacksonville,6,6,66,60,Jacksonville
North Florida,Jacksonville,65,66,Jacksonville,10,5,55,61,Jacksonville
North Florida,Jacksonville,70,68,North Florida,13,5,57,63,Jacksonville
Jacksonville,North Alabama,81,82,North Alabama,8,11,73,71,Jacksonville
Jacksonville,North Alabama,54,76,North Alabama,7,8,47,68,North Alabama
Liberty,Jacksonville,59,54,Liberty,7,7,52,47,Liberty
Liberty,Jacksonville,64,58,Liberty,6,5,58,53,Liberty
Lipscomb,Jacksonville,60,66,Jacksonville,5,7,55,59,Jacksonville
Lipscomb,Jacksonville,71,69,Lipscomb,5,9,66,60,Lipscomb
Jacksonville,Stetson,75,91,Stetson,8,11,67,80,Stetson
Jacksonville,Stetson,86,82,Jacksonville,6,11,80,71,Jacksonville
Carver College,Kennesaw State,40,87,Kennesaw State,4,9,36,78,Kennesaw State
Toccoa Falls,Kennesaw State,44,106,Kennesaw State,5,18,39,88,Kennesaw State
Kennesaw State,UAB,48,73,UAB,3,6,45,67,UAB
Kennesaw State,Creighton,58,93,Creighton,5,7,53,86,Creighton
Dalton State,Kennesaw State,62,72,Kennesaw State,5,9,57,63,Kennesaw State
Kennesaw State,Belmont,53,64,Belmont,7,6,46,58,Belmont
Samford,Kennesaw State,65,63,Samford,6,6,59,57,Samford
Mercer,Kennesaw State,81,71,Mercer,5,5,76,66,Mercer
Kennesaw State,Liberty,63,69,Liberty,7,4,56,65,Liberty
Kennesaw State,Liberty,47,76,Liberty,5,8,42,68,Liberty
North Alabama,Kennesaw State,66,43,North Alabama,6,2,60,41,North Alabama
North Alabama,Kennesaw State,66,64,North Alabama,5,5,61,59,North Alabama
Kennesaw State,North Florida,54,69,North Florida,7,6,47,63,North Florida
Kennesaw State,North Florida,65,68,North Florida,6,5,59,63,North Florida
Stetson,Kennesaw State,74,61,Stetson,6,6,68,55,Stetson
Stetson,Kennesaw State,75,83,Kennesaw State,6,11,69,72,Kennesaw State
